sid,dat,tim,open_value,low,high,close_value,volume
292,2020-05-04,12:55:00,27.6,27.39,28.42,27.7461,9451028
146,2020-05-04,12:54:00,200.2,198.76,205,203.23,9801812
178,2020-05-04,12:54:00,1308.13,1296.01,1314.99,1308.78,781365
267,2020-05-04,12:54:00,2256.38,2256.5,2326,2299,3280747
292,2020-05-04,12:54:00,27.6,27.39,28.42,27.76,9438163
632,2020-05-04,12:54:00,73.72,72.13,77.9,76.43,162450
711,2020-05-04,12:54:00,417.78,414.87,428.54,424.029,4627599
971,2020-05-04,12:54:00,22.21,21.35,22.4,22.35,518977
365,2020-05-04,12:54:00,289.17,286.33,292.1,289.64,18654486
413,2020-05-04,12:54:00,18,17.42,18.69,18.51,1082323
579,2020-05-04,12:54:00,701,698,748.8,735.76,11707064
365,2020-05-04,12:53:00,289.17,286.33,292.1,289.98,18515264
413,2020-05-04,12:53:00,18,17.42,18.69,18.52,1080371
579,2020-05-04,12:53:00,701,698,748.8,737.32,11684477
146,2020-05-04,12:53:00,200.2,198.76,205,203.29,9778495
178,2020-05-04,12:53:00,1308.13,1296.01,1314.99,1309.15,775846
267,2020-05-04,12:53:00,2256.38,2256.5,2326,2300.7,3271081
292,2020-05-04,12:53:00,27.6,27.39,28.42,27.76,9404648
632,2020-05-04,12:53:00,73.72,72.13,77.9,76.425,161725
711,2020-05-04,12:53:00,417.78,414.87,428.54,424.8,4597966
971,2020-05-04,12:53:00,22.21,21.35,22.4,22.335,516878
632,2020-05-04,12:52:00,73.72,72.13,77.9,76.45,161136
711,2020-05-04,12:52:00,417.78,414.87,428.54,424.874,4593755
971,2020-05-04,12:52:00,22.21,21.35,22.4,22.335,516856
365,2020-05-04,12:52:00,289.17,286.33,292.1,290.05,18469403
413,2020-05-04,12:52:00,18,17.42,18.69,18.51,1078214
579,2020-05-04,12:52:00,701,698,748.8,737.05,11671305
146,2020-05-04,12:52:00,200.2,198.76,205,203.17,9756450
178,2020-05-04,12:52:00,1308.13,1296.01,1314.99,1309.15,775569
267,2020-05-04,12:52:00,2256.38,2256.5,2326,2301.38,3268015
292,2020-05-04,12:52:00,27.6,27.39,28.42,27.755,9380993
